Symbol,Name,Dividend Yield,AUM ,Fund Provider,Expense Ratio,Inception Date
UFO,Procure Space ETF,0.3%,$1.1B,Procure ETFs,0.94%,12/29/2025
NASA,Tema Space Innovators ETF,0.0%,$3.0B,Tema ETFs,0.75%,3/30/2026
UFOD,Tuttle Capital UFO Disclosure ETF ,0.0%,$3M,Tuttle Capital ,0.99%,2/5/2026
ARKX,ARK Space Exploration & Innovation ETF,0.0%,$1.4B,ARK Invest,0.75%,3/30/2021
ROKT,SPDR S&P Kensho Final Frontiers ETF,0.3%,$242M,State Street ,0.45%,10/22/2018
ITA,iShares U.S. Aerospace & Defense ETF,0.4%,$14B,BlackRock ,0.38%,5/1/2006
PPA,Invesco Aerospace & Defense ETF,0.6%,$8.02B,Invesco,0.58%,10/26/2005
XAR,SPDR S&P Aerospace & Defense ETF,0.5%,$6B,State Street ,0.35%,9/28/2011
ORBX,Global X Space Tech ETF,0.0%,$54M,Global X,0.50%,4/14/2026
WARP,VanEck Space ETF,0.0%,$49M,VanEck,0.50%,5/6/2026
MARS,Roundhill Space & Technology ETF,0.0%,$94M,Roundhill Investments,0.75%,3/4/2026
SHLD,Global X Defense Tech ETF,0.6%,$7.45B,Global X,0.50%,9/11/2023
DIPR,Corgi Space & Satellite Communications ETF,0.0%,$4M,Corgi Capital,0.35%,5/6/2026
SPCI,Tuttle Capital Space Industry Income Blast ETF,43.0%,$15M,Tuttle Capital ,0.99%,5/12/2026
RKLX,Defiance Daily Target 2X Long RKLB ETF,0.0%,$282M,Defiance ETFs,1.31%,3/12/2025
JEDI,Defiance Drone and Modern Warfare ETF,0.0%,$164M,Defiance ETFs,0.69%,9/25/2025
SPAX,T-REX 2X Long SpaceX Daily Target ETF,0.0%,5M,REXshares,1.50%,6/15/2026
SPAL,GraniteShares 2x Long SpaceX Daily ETF,0.0%,32M,GraniteShares,1.50%,6/15/2026
SNK,GraniteShares 2x Short SpaceX Daily ETF,0.0%,23M,GraniteShares,2.20%,6/15/2026
SPCH,Leverage Shares 2x Long SPCX Daily ETF,0.0%,$388M,Leverage Shares,0.75%,6/15/2026
XSHP,Kurv SpaceX Enhanced Income ETF,0.0%,$2M,Kurv,0.99%,6/16/2026
XSPC,VegaShares SpaceX & Beyond Earth ETF,0.0%,$3M,VEGAshares,0.75%,6/16/2026
GALX,VistaShares Space Supercycle ETF The Space Infrastructure ETF,0.0%,$1M,VistaShares,0.75%,7/16/2026
